ID_STATION,NOM_STATION,RA,ADRESSE,MUNICIPALITE,TYPE_MILIEU,DATE_OUVERTURE,DATE_FERMETURE,LATITUDE,LONGITUDE
08007,Rouyn-Noranda - Carter,08,En face du 26 rue Carter,Rouyn-Noranda,URBAIN,2022-06-10,,48.2485,-79.01125
08041,Rouyn-Noranda - Notre-Dame,08,"895, Perreault Est",Rouyn-Noranda,URBAIN,1975-01-01,2010-05-15,48.238746,-78.991033
08042,Rouyn-Noranda - Parc Tremblay,08,"1570 Rue Paradis,",Rouyn-Noranda,URBAIN,1985-08-14,,48.234092,-78.982753
08044,Rouyn-Noranda - Mgr Rhéaume Est,08,"26, rue Mgr Rhéaume Est",Rouyn-Noranda,URBAIN,2002-12-05,,48.235738,-79.019808
08045,Rouyn-Noranda - École Murdoch,08,"50, rue Murdoch,",Rouyn-Noranda,URBAIN,1985-08-05,,48.246126,-79.013348
08046,Rouyn-Noranda - Usine traitement eau,08,"145 Avenue Lafontaine, Évain",Rouyn-Noranda,URBAIN,2002-06-19,2010-05-15,48.227968,-79.129902
08047,Rouyn-Noranda - Maison de la fonderie,08,"1, rue Carter",Rouyn-Noranda,URBAIN,2005-04-13,2010-05-15,48.2475,-79.00861111
08048,Rouyn-Noranda - Caserne de pompier,08,"111, 9e rue",Rouyn-Noranda,URBAIN,2005-04-14,2010-05-15,48.2475,-79.01944444
08049,Rouyn-Noranda - Centre polymétier,08,"15, 10e Rue",Rouyn-Noranda,URBAIN,2005-04-14,,48.24494,-79.023149
08401,Témiscaming,08,Rue Boucher,Témiscaming,URBAIN,1993-05-09,,46.721691,-79.099003
08450,Senneterre,08,Chemin Rivière Bell,Senneterre,FORET,1992-02-25,,48.4317,-77.1967
09350,Forestville - Route 385,09,À 15 km route 385,Colombier,FORET,1992-09-23,2019-08-07,48.855288,-69.098704
10200,Radisson,10,"Route de la Baie James, km 598",G.R. d'Eeyou Istchee Baie-James,FORET,2017-11-28,,53.692071,-77.741918
05013,Sherbrooke - Parc Webster,05,"713 Rue Albert, Sherbrooke",Sherbrooke,URBAN,12-avr-75,17-sept-13,45.40305556,-71.89
05502,Lac-Mégantic - Centre sportif,05,"5400, rue Papineau",Lac-Mégantic,URBAN,16-janv-14,29-juin-15,45.577762,-70.879843
05503,Lac-Mégantic - Fatima,05,"6318, rue Salaberry",Lac-Mégantic,URBAN,29-avr-14,02-nov-15,45.57283,-70.8776
05504,Lac-Mégantic - Du Barrage,05,Boul J-M Tardif /Ch du barrage,Frontenac,URBAN,21-mai-14,28-sept-17,45.5867,-70.85555
09061,Sept-Îles - Gamache,09,138 rue Gamache,Sept-Îles,URBAN,21-juin-12,17-juin-13,50.201964,-66.370444
